text,label
"搭建 RAG 检索增强生成业务落地流程",1
"设计 Agent 智能体记忆模块与规划逻辑",1
"开展大模型微调、提示词工程效果调优",1
"构建基于大模型的智能问答与文档解析系统",1
"实现向量库数据入库、召回策略与重排序优化",1
"评估大模型输出效果，做幻觉问题专项治理",1
"开发大模型多轮对话业务应用，处理上下文管理",1
"基于 LLM 搭建文档摘要、信息抽取业务模块",1
"调试大模型工具调用链路，实现多工具协同调度",1
"构建私有领域知识库，完成文档切片、向量化流水线",1
"参与 SpringBoot 接口开发，处理业务请求逻辑",0
"完成 MySQL 表结构设计、索引优化与慢 SQL 排查",0
"使用 Vue 开发业务管理后台页面与交互组件",0
"参与 ERP 业务模块迭代，编写业务逻辑代码",0
"对接第三方 HTTP 接口，完成服务之间数据交互",0
"做 Redis 缓存方案设计，优化接口响应速度",0
"编写单元测试，保障后端业务模块稳定性",0
"维护传统业务系统，处理线上 bug 与版本迭代",0
"完成小程序前端页面开发，对接后端接口",0
"做业务数据统计脚本开发，输出业务报表",0
"负责 RAG 知识库、Embedding 和向量检索开发",1
"参与 Agent 工具调用与 Workflow 设计",1
"负责大语言模型 Prompt 优化",1
"负责 LLM 应用和知识库问答系统建设",1
"参与 Java 后端 Spring Boot 系统开发",0
"负责 MySQL 数据库性能优化",0
"负责前端 React 页面开发",0
"负责传统 ERP 系统维护",0
